"Rank","Club","Country","Level","Elo","From","To"
"None","Celje","SVN",1,1359.25,"2024-12-20","2024-12-30"
"None","Teplice","CZE",1,1358.23083496,"2024-12-20","2024-12-30"
"None","Kilmarnock","SCO",1,1358.1796875,"2024-12-27","2024-12-29"
"None","Heracles","NED",1,1357.99401855,"2024-12-22","2024-12-30"
"None","Stromsgodset","NOR",1,1355.78063965,"2024-12-20","2024-12-30"
"None","Slask","POL",1,1354.75073242,"2024-12-20","2024-12-30"
"None","FK Astana","KAZ",0,1354.60595703,"2024-12-20","2024-12-30"
"None","Groningen","NED",1,1354.40344238,"2024-12-22","2024-12-30"
"None","Bohemians Praha","CZE",1,1353.70617676,"2024-12-20","2024-12-30"
"None","Orenburg","RUS",1,1353.33227539,"2024-12-09","2024-12-30"
"None","Lubin","POL",1,1352.9597168,"2024-12-20","2024-12-30"
"None","Beitar","ISR",1,1352.03894043,"2024-12-24","2024-12-30"
"None","Red Star","FRA",2,1351.72619629,"2024-12-15","2024-12-30"
"None","Beerschot AC","BEL",1,1350.26977539,"2024-12-28","2024-12-30"
"None","Akron Togliatti","RUS",1,1349.65771484,"2024-12-08","2024-12-30"
"None","Braunschweig","GER",2,1348.46643066,"2024-12-22","2024-12-30"
"None","Stal Mielec","POL",1,1346.59838867,"2024-12-20","2024-12-30"
"None","Katowice","POL",1,1344.54675293,"2024-12-20","2024-12-30"
"None","Paksi","HUN",1,1344.28564453,"2024-12-15","2024-12-30"
"None","Hibernian","SCO",1,1343.74255371,"2024-12-27","2024-12-29"
"None","BW Linz","AUT",1,1342.91113281,"2024-12-20","2024-12-30"
"None","Almere","NED",1,1341.90063477,"2024-12-22","2024-12-30"
"None","Olexandriya","UKR",1,1340.44445801,"2024-12-15","2024-12-30"
"None","Partizan","SRB",1,1339.8182373,"2024-12-22","2024-12-30"
"None","St Mirren","SCO",1,1339.79174805,"2024-12-27","2024-12-29"
"None","Kayseri","TUR",1,1339.32080078,"2024-12-23","2024-12-30"
"None","Motor Lublin","POL",1,1338.46240234,"2024-12-20","2024-12-30"
"None","Waalwijk","NED",1,1338.15161133,"2024-12-21","2024-12-30"
"None","Puszcza Niepolomice","POL",1,1334.87524414,"2024-12-20","2024-12-30"
"None","FC Khimki","RUS",1,1333.9967041,"2024-12-09","2024-12-30"
"None","Lok Zagreb","CRO",1,1333.94689941,"2024-12-22","2024-12-30"
"None","Varnamo","SWE",1,1333.56762695,"2024-12-20","2024-12-30"
"None","Goeteborg","SWE",1,1332.90112305,"2024-12-20","2024-12-30"
"None","Korona","POL",1,1332.84423828,"2024-12-20","2024-12-30"
"None","Aalborg","DEN",1,1332.08483887,"2024-12-20","2024-12-30"
"None","Nizhny Novgorod","RUS",1,1331.2791748,"2024-12-08","2024-12-30"
"None","Kryvbas","UKR",1,1330.46728516,"2024-12-15","2024-12-30"
"None","Radomiak","POL",1,1328.98864746,"2024-12-20","2024-12-30"
"None","Viitorul","ROM",1,1328.9822998,"2024-12-22","2024-12-30"
"None","Varazdin","CRO",1,1328.84790039,"2024-12-23","2024-12-30"
"None","SonderjyskE","DEN",1,1328.18664551,"2024-12-20","2024-12-30"
"None","Diosgyori","HUN",1,1327.5201416,"2024-12-15","2024-12-30"
"None","Pardubice","CZE",1,1326.80090332,"2024-12-20","2024-12-30"
"None","Adana Demirspor","TUR",1,1325.1517334,"2024-12-24","2024-12-30"
"None","Sandefjord","NOR",1,1324.90380859,"2024-12-20","2024-12-30"
"None","GAIS","SWE",1,1323.34448242,"2024-12-20","2024-12-30"
"None","CSKA Sofia","BUL",1,1323.30639648,"2024-12-13","2024-12-30"
"None","Klagenfurt","AUT",1,1320.05273438,"2024-12-20","2024-12-30"
"None","Dynamo Makhachkala","RUS",1,1319.73620605,"2024-12-08","2024-12-30"
"None","Grasshoppers","SUI",1,1318.39025879,"2024-12-20","2024-12-30"
"None","Haugesund","NOR",1,1318.0279541,"2024-12-20","2024-12-30"
"None","Zira","AZE",0,1317.5970459,"2024-12-13","2024-12-30"
"None","Motherwell","SCO",1,1317.30639648,"2024-12-27","2024-12-29"
"None","Norrkoeping","SWE",1,1316.66271973,"2024-12-20","2024-12-30"
"None","Dunajska","SLK",0,1316.56225586,"2024-12-12","2024-12-30"
"None","Lyngby","DEN",1,1316.43652344,"2024-12-20","2024-12-30"
"None","Karvina","CZE",1,1316.23254395,"2024-12-20","2024-12-30"
"None","KFUM Oslo","NOR",1,1315.93359375,"2024-12-20","2024-12-30"
"None","Panetolikos","GRE",1,1314.81872559,"2024-12-23","2024-12-30"
"None","Kalmar","SWE",1,1314.74023438,"2024-12-20","2024-12-30"
"None","OFI","GRE",1,1314.51672363,"2024-12-24","2024-12-30"
"None","Regensburg","GER",2,1312.74084473,"2024-12-23","2024-12-30"
"None","Dinamo Bucuresti","ROM",1,1312.5057373,"2024-12-23","2024-12-30"
"None","Bodrum","TUR",1,1310.6661377,"2024-12-23","2024-12-30"
"None","Ham-Kam","NOR",1,1309.38317871,"2024-12-20","2024-12-30"
"None","Videoton","HUN",1,1309.0925293,"2024-12-15","2024-12-30"
"None","Sabah","AZE",0,1307.12268066,"2024-12-13","2024-12-30"
"None","Dundee United","SCO",1,1306.26013184,"2024-12-27","2024-12-29"
"None","Polissya Zhytomyr","UKR",1,1306.1418457,"2024-12-16","2024-12-30"
"None","Rukh Lviv","UKR",1,1304.87744141,"2024-12-16","2024-12-30"
"None","Martigues","FRA",2,1300.00646973,"2024-12-14","2024-12-30"
"None","Ujpest","HUN",1,1299.82434082,"2024-12-16","2024-12-30"
"None","Vejle","DEN",1,1298.89318848,"2024-12-20","2024-12-30"
"None","Zrinjski Mostar","BHZ",0,1298.61560059,"2024-12-20","2024-12-30"
"None","Atromitos","GRE",1,1297.8190918,"2024-12-23","2024-12-30"
"None","Yverdon Sport","SUI",1,1297.49951172,"2024-12-20","2024-12-30"
"None","Wisla","POL",0,1296.79272461,"2024-12-20","2024-12-30"
"None","Kristiansund","NOR",1,1296.0703125,"2024-12-20","2024-12-30"
"None","Brommapojkarna","SWE",1,1295.88378906,"2024-12-20","2024-12-30"
"None","Bnei Sakhinin","ISR",1,1295.49499512,"2024-12-15","2024-12-30"
"None","UTA Arad","ROM",1,1295.27453613,"2024-12-24","2024-12-30"
"None","Asteras Tripolis","GRE",1,1294.71435547,"2024-12-24","2024-12-30"
"None","Sumqayit","AZE",0,1294.0402832,"2024-12-13","2024-12-30"
"None","Pyunik","ARM",0,1293.49389648,"2024-12-20","2024-12-30"
"None","Koper","SVN",1,1293.31616211,"2024-12-20","2024-12-30"
"None","MTK","HUN",1,1293.19421387,"2024-12-15","2024-12-30"
"None","Wattens","AUT",1,1291.91699219,"2024-12-20","2024-12-30"
"None","Backa Topola","SRB",1,1291.90625,"2024-12-27","2024-12-30"
"None","Winterthur","SUI",1,1291.75512695,"2024-12-20","2024-12-30"
"None","Zorya","UKR",1,1290.33447266,"2024-12-15","2024-12-30"
"None","Istra 1961","CRO",1,1289.4173584,"2024-12-21","2024-12-30"
"None","Hermannstadt","ROM",1,1288.47192383,"2024-12-22","2024-12-30"
"None","Hapoel Jerusalem","ISR",1,1287.82397461,"2024-12-17","2024-12-30"
"None","Petrolul Ploiesti","ROM",1,1287.68237305,"2024-12-23","2024-12-30"
"None","Halmstad","SWE",1,1287.03283691,"2024-12-20","2024-12-30"
"None","Vaduz","LIE",0,1285.23974609,"2024-12-20","2024-12-30"
"None","Shamrock","IRL",0,1281.63647461,"2024-12-20","2024-12-30"
"None","FK Riga","LAT",0,1281.25976562,"2024-12-13","2024-12-30"
"None","Zalaegerszegi","HUN",1,1279.52600098,"2024-12-15","2024-12-30"
"None","Slaven Belupo","CRO",1,1278.05712891,"2024-12-23","2024-12-30"
"None","Hatayspor","TUR",1,1277.6829834,"2024-12-24","2024-12-30"
"None","Kuopio","FIN",0,1277.19067383,"2024-12-20","2024-12-30"
"None","Altach","AUT",1,1277.10498047,"2024-12-20","2024-12-30"
"None","Lechia","POL",1,1275.99267578,"2024-12-20","2024-12-30"
"None","Dundee","SCO",1,1274.36755371,"2024-12-27","2024-12-29"
"None","NFC Volos","GRE",1,1273.51159668,"2024-12-24","2024-12-30"
"None","Lillestrom","NOR",1,1272.24829102,"2024-12-20","2024-12-30"
"None","Netanya","ISR",1,1272.09692383,"2024-12-15","2024-12-30"
"None","Maccabi Bnei Raina","ISR",1,1271.80041504,"2024-12-15","2024-12-30"
"None","Bravo","SVN",1,1271.55639648,"2024-12-20","2024-12-30"
"None","Arda","BUL",1,1271.10229492,"2024-12-13","2024-12-30"
"None","Novi Sad","SRB",1,1270.86816406,"2024-12-22","2024-12-30"
"None","GAK","AUT",1,1270.23425293,"2024-12-20","2024-12-30"
"None","Odd Grenland","NOR",1,1268.9050293,"2024-12-20","2024-12-30"
"None","Otelul Galati","ROM",1,1268.11376953,"2024-12-23","2024-12-30"
"None","Botev Plovdiv","BUL",1,1266.6072998,"2024-12-20","2024-12-30"
"None","Panserraikos","GRE",1,1264.55163574,"2024-12-23","2024-12-30"
"None","Levadeiakos","GRE",1,1264.35913086,"2024-12-23","2024-12-30"
"None","Noah","ARM",0,1264.0534668,"2024-12-20","2024-12-30"
"None","Ashdod","ISR",1,1263.85046387,"2024-12-15","2024-12-30"
"None","Kiryat Shmona","ISR",1,1260.77575684,"2024-12-15","2024-12-30"
"None","Vikingur","ISL",0,1260.73364258,"2024-12-20","2024-12-30"
"None","St Patricks","IRL",0,1259.66601562,"2024-12-20","2024-12-30"
"None","HNK Gorica","CRO",1,1258.14416504,"2024-12-22","2024-12-30"
"None","Debrecen","HUN",1,1256.9954834,"2024-12-15","2024-12-30"
"None","RFS","LAT",0,1251.86962891,"2024-12-13","2024-12-30"
"None","Kecskemeti","HUN",1,1246.21228027,"2024-12-16","2024-12-30"
"None","Gyoer","HUN",1,1244.25524902,"2024-12-15","2024-12-30"
"None","Ross County","SCO",1,1243.91088867,"2024-12-27","2024-12-29"
"None","HJK Helsinki","FIN",0,1239.10522461,"2024-12-20","2024-12-30"
"None","Lamia","GRE",1,1238.57324219,"2024-12-22","2024-12-30"
"None","Dukla","CZE",1,1238.18103027,"2024-12-20","2024-12-30"
"None","Aktobe","KAZ",0,1237.74133301,"2024-12-20","2024-12-30"
"None","Cukaricki","SRB",1,1236.22180176,"2024-12-23","2024-12-30"
"None","CSKA 1948 Sofia","BUL",1,1236.17883301,"2024-12-13","2024-12-30"
"None","Shelbourne","IRL",0,1233.42785645,"2024-12-20","2024-12-30"
"None","Botosani","ROM",1,1232.57702637,"2024-12-24","2024-12-30"
"None","St Johnstone","SCO",1,1232.28088379,"2024-12-27","2024-12-29"
"None","Iasi","ROM",1,1231.71789551,"2024-12-24","2024-12-30"
"None","Kolos","UKR",1,1231.64794922,"2024-12-16","2024-12-30"
"None","Borac Banja Luka","BHZ",0,1231.2331543,"2024-12-20","2024-12-30"
"None","FK Sarajevo","BHZ",0,1230.94824219,"2024-12-20","2024-12-30"
"None","Kalithea","GRE",1,1230.87902832,"2024-12-23","2024-12-30"
"None","Nyiregyhaza","HUN",1,1229.71374512,"2024-12-16","2024-12-30"
"None","Ararat","ARM",0,1229.59350586,"2024-12-20","2024-12-30"
"None","Tobol","KAZ",0,1228.64819336,"2024-12-20","2024-12-30"
"None","Kragujevac","SRB",1,1227.22900391,"2024-12-22","2024-12-30"
"None","M Petach Tikva","ISR",1,1223.91577148,"2024-12-15","2024-12-30"
"None","Derry City","IRL",0,1221.51342773,"2024-12-20","2024-12-30"
"None","LNZ","UKR",1,1221.23510742,"2024-12-15","2024-12-30"
"None","Hapoel Eran Hadera","ISR",1,1219.67749023,"2024-12-15","2024-12-30"
"None","Drita","KOS",0,1217.79748535,"2024-08-30","2024-12-30"
"None","Vaesteras","SWE",1,1217.39196777,"2024-12-20","2024-12-30"
"None","Unirea Slobozia","ROM",1,1216.34265137,"2024-12-23","2024-12-30"
"None","Mura","SVN",1,1213.93212891,"2024-12-20","2024-12-30"
"None","Vorskla","UKR",1,1213.77233887,"2024-12-14","2024-12-30"
"None","Dinamo Minsk","BLR",0,1213.3963623,"2024-12-20","2024-12-30"
"None","Ilves Tampere","FIN",0,1208.48547363,"2024-12-20","2024-12-30"
"None","Corvinul Hunedoara","ROM",0,1207.73303223,"2024-12-13","2024-12-30"
"None","Karpaty","UKR",1,1207.68200684,"2024-12-15","2024-12-30"
"None","Ironi Tiberias","ISR",1,1207.6184082,"2024-12-24","2024-12-30"
"None","Zalgiris Vilnius","LIT",0,1206.70324707,"2024-08-30","2024-12-30"
"None","Veres","UKR",1,1206.64257812,"2024-12-17","2024-12-30"
"None","Banants","ARM",0,1205.81433105,"2024-12-20","2024-12-30"
"None","Breidablik","ISL",0,1203.94091797,"2024-12-20","2024-12-30"
"None","Ceske Budejovice","CZE",1,1203.88586426,"2024-12-20","2024-12-30"
"None","Ordabasy","KAZ",0,1203.40258789,"2024-12-20","2024-12-30"
"None","Radomlje","SVN",1,1203.36804199,"2024-12-20","2024-12-30"
"None","Auda","LAT",0,1199.93029785,"2024-12-13","2024-12-30"
"None","Valur","ISL",0,1196.94055176,"2024-12-20","2024-12-30"
"None","Velez Mostar","BHZ",0,1196.47045898,"2024-12-20","2024-12-30"
"None","Petrocub","MOL",0,1196.45617676,"2024-12-20","2024-12-30"
"None","Obolon Kyiv","UKR",1,1192.21472168,"2024-12-16","2024-12-30"
"None","Levski Krumovgrad","BUL",1,1191.65893555,"2024-12-13","2024-12-30"
"None","Slavia Sofia","BUL",1,1189.18652344,"2024-12-13","2024-12-30"
"None","Vaasa","FIN",0,1189.03112793,"2024-12-20","2024-12-30"
"None","Sibenik","CRO",1,1188.67651367,"2024-12-23","2024-12-30"
"None","Ballkani","KOS",0,1184.97155762,"2024-08-30","2024-12-30"
"None","Gloria Buzau","ROM",1,1184.10595703,"2024-12-22","2024-12-30"
"None","Beroe Stara Zagora","BUL",1,1180.18249512,"2024-12-13","2024-12-30"
"None","Saburtalo","GEO",0,1178.19897461,"2024-08-16","2024-12-30"
"None","Lok Plovdiv","BUL",1,1178.18127441,"2024-12-13","2024-12-30"
"None","Liepajas","LAT",0,1177.38354492,"2024-12-13","2024-12-30"
"None","Shkendija","MAC",0,1177.32739258,"2024-07-31","2024-12-30"
"None","Primorje","SVN",1,1176.31469727,"2024-12-20","2024-12-30"
"None","Mladost Lucani","SRB",1,1176.12878418,"2024-12-21","2024-12-30"
"None","Milsami Orhei","MOL",0,1169.62426758,"2024-12-20","2024-12-30"
"None","Chernomorets","UKR",1,1168.57324219,"2024-12-15","2024-12-30"
"None","Livyi Bereh","UKR",1,1168.03100586,"2024-12-14","2024-12-30"
"None","Stjarnan","ISL",0,1166.4329834,"2024-12-20","2024-12-30"
"None","Torpedo Kutaisi","GEO",0,1164.16381836,"2024-08-16","2024-12-30"
"None","Klaksvik","FAR",0,1159.95324707,"2024-08-30","2024-12-30"
"None","Partizani Tirana","ALB",0,1156.84179688,"2024-08-02","2024-12-30"
"None","Zimbru","MOL",0,1155.95031738,"2024-12-20","2024-12-30"
"None","Inhulets","UKR",1,1153.46020508,"2024-12-16","2024-12-30"
"None","Domzale","SVN",1,1148.99597168,"2024-12-20","2024-12-30"
"None","Spartak Varna","BUL",1,1145.16003418,"2024-12-13","2024-12-30"
"None","Batumi","GEO",0,1143.13012695,"2024-08-16","2024-12-30"
"None","Flora Tallinn","EST",0,1142.63122559,"2024-08-16","2024-12-30"
"None","Egnatia","ALB",0,1135.38818359,"2024-08-02","2024-12-30"
"None","Novi Pazar","SRB",1,1131.96142578,"2024-12-21","2024-12-30"
"None","Panevezys","LIT",0,1127.44165039,"2024-08-30","2024-12-30"
"None","The New Saints","WAL",0,1127.13720703,"2024-12-20","2024-12-30"
"None","Zlatibor","SRB",1,1126.91027832,"2024-12-23","2024-12-30"
"None","TransINVEST","LIT",0,1124.7097168,"2024-08-30","2024-12-30"
"None","Vllaznia","ALB",0,1117.92810059,"2024-08-02","2024-12-30"
"None","Nis","SRB",1,1116.58190918,"2024-12-22","2024-12-30"
"None","OFK","SRB",1,1116.33618164,"2024-12-24","2024-12-30"
"None","Neman Grodno","BLR",0,1115.80456543,"2024-12-20","2024-12-30"
"None","Tikves","MAC",0,1114.75292969,"2024-07-31","2024-12-30"
"None","Tirana","ALB",0,1114.69067383,"2024-08-02","2024-12-30"
"None","Zeleznicar Pancevo","SRB",1,1109.31347656,"2024-12-22","2024-12-30"
"None","Isloch","BLR",0,1107.75524902,"2024-12-20","2024-12-30"
"None","Dinamo Tbilisi","GEO",0,1106.90856934,"2024-08-16","2024-12-30"
"None","Siauliai","LIT",0,1105.91015625,"2024-08-30","2024-12-30"
"None","Linfield","NIR",0,1102.65942383,"2024-12-20","2024-12-30"
"None","IMT","SRB",1,1102.3404541,"2024-12-27","2024-12-30"
"None","Hamrun","MLT",0,1098.66833496,"2024-08-02","2024-12-30"
"None","Septemvri Sofia","BUL",1,1090.28881836,"2024-12-13","2024-12-30"
"None","Nafta","SVN",1,1088.9666748,"2024-12-20","2024-12-30"
"None","Lok Sofia","BUL",1,1088.68469238,"2024-12-13","2024-12-30"
"None","Struga","MAC",0,1087.32653809,"2024-07-31","2024-12-30"
"None","Krusevac","SRB",1,1086.27453613,"2024-12-23","2024-12-30"
"None","Mornar","MNT",0,1085.00390625,"2024-08-16","2024-12-30"
"None","Niedercorn","LUX",0,1084.9855957,"2024-08-02","2024-12-30"
"None","Decic","MNT",0,1084.34790039,"2024-08-16","2024-12-30"
"None","Dudelange","LUX",0,1081.26477051,"2024-08-02","2024-12-30"
"None","Llapi","KOS",0,1075.31604004,"2024-08-30","2024-12-30"
"None","Torpedo Zhodino","BLR",0,1075.11975098,"2024-12-20","2024-12-30"
"None","Paide Linnameeskond","EST",0,1074.60168457,"2024-08-16","2024-12-30"
"None","Crusaders","NIR",0,1074.38952637,"2024-12-20","2024-12-30"
"None","B 36 Torshavn","FAR",0,1067.34130859,"2024-08-30","2024-12-30"
"None","Una Strassen","LUX",0,1066.4753418,"2024-08-02","2024-12-30"
"None","Differdang","LUX",0,1065.87243652,"2024-08-02","2024-12-30"
"None","Gota","FAR",0,1061.19055176,"2024-08-30","2024-12-30"
"None","Malisheva","KOS",0,1059.91247559,"2024-08-30","2024-12-30"
"None","Botev Vratsa","BUL",1,1057.83190918,"2024-12-13","2024-12-30"
"None","Larne","NIR",0,1053.89489746,"2024-12-20","2024-12-30"
"None","Floriana","MLT",0,1053.81933594,"2024-08-02","2024-12-30"
"None","Hebar","BUL",1,1051.63891602,"2024-12-13","2024-12-30"
"None","HB Torshavn","FAR",0,1050.90234375,"2024-08-30","2024-12-30"
"None","Cliftonville","NIR",0,1050.16418457,"2024-12-20","2024-12-30"
"None","Marsaxlokk","MLT",0,1048.00817871,"2024-08-02","2024-12-30"
"None","FC Infonet","EST",0,1047.51000977,"2024-08-16","2024-12-30"
"None","Tekstilac Odzaci","SRB",1,1046.49475098,"2024-12-23","2024-12-30"
"None","Kalev","EST",0,1044.25756836,"2024-08-16","2024-12-30"
"None","Sliema Wanderers","MLT",0,1039.95922852,"2024-08-02","2024-12-30"
"None","Podgorica","MNT",0,1037.45458984,"2024-08-16","2024-12-30"
"None","Caernarfon Town","WAL",0,1006.66442871,"2024-12-20","2024-12-30"
"None","Bala","WAL",0,995.759460449,"2024-12-20","2024-12-30"
"None","Connahs Quay","WAL",0,995.107849121,"2024-12-20","2024-12-30"
"None","Jedinstvo Ub","SRB",1,985.049377441,"2024-12-23","2024-12-30"
"None","Escaldes","AND",0,965.057250977,"2024-08-30","2024-12-30"
"None","Lincoln","GIB",0,963.252685547,"2024-08-30","2024-12-30"
"None","St Josephs","GIB",0,907.828308105,"2024-08-30","2024-12-30"
"None","Escale","AND",0,901.204467773,"2024-08-30","2024-12-30"
"None","FCB Magpies","GIB",0,896.844543457,"2024-08-30","2024-12-30"
"None","Atletic Club Escaldes","AND",0,879.769836426,"2024-08-30","2024-12-30"
"None","SS Virtus","SMR",0,708.074829102,"2024-08-02","2024-12-30"
"None","Tre Penne","SMR",0,695.420898438,"2024-08-02","2024-12-30"
"None","La Fiorita","SMR",0,690.110168457,"2024-08-02","2024-12-30"
