"Rank","Club","Country","Level","Elo","From","To"
"None","Istra 1961","CRO",1,1362.64489746,"2025-05-26","2025-06-12"
"None","Mlada Boleslav","CZE",1,1361.43188477,"2025-05-26","2025-06-12"
"None","SonderjyskE","DEN",1,1360.40319824,"2025-05-25","2025-06-12"
"None","Martigues","FRA",2,1358.27185059,"2025-06-01","2025-06-12"
"None","Bohemians Praha","CZE",1,1355.88806152,"2025-05-26","2025-06-12"
"None","Antalyaspor","TUR",1,1355.68505859,"2025-05-31","2025-06-12"
"None","Sivasspor","TUR",1,1355.29040527,"2025-06-01","2025-06-12"
"None","FK Astana","KAZ",0,1354.60595703,"2025-01-01","2025-06-12"
"None","Cosenza","ITA",2,1354.60168457,"2025-06-01","2025-06-12"
"None","Partizan","SRB",1,1354.12451172,"2025-05-26","2025-06-12"
"None","Osijek","CRO",1,1353.87341309,"2025-05-26","2025-06-12"
"None","AVS Futebol","POR",1,1353.67419434,"2025-05-18","2025-06-12"
"None","Sandefjord","NOR",1,1352.60778809,"2025-06-02","2025-06-12"
"None","Akron Togliatti","RUS",1,1351.15979004,"2025-05-25","2025-06-12"
"None","Breda","NED",1,1351.14208984,"2025-05-19","2025-06-12"
"None","Ferrol","ESP",2,1350.68530273,"2025-06-01","2025-06-12"
"None","Motor Lublin","POL",1,1349.67553711,"2025-05-25","2025-06-12"
"None","Almere","NED",1,1349.17346191,"2025-05-19","2025-06-12"
"None","Varazdin","CRO",1,1347.17712402,"2025-05-26","2025-06-12"
"None","Widzew","POL",1,1346.42041016,"2025-05-25","2025-06-12"
"None","Dynamo Makhachkala","RUS",1,1345.46643066,"2025-05-25","2025-06-12"
"None","Boavista","POR",1,1345.24804688,"2025-05-18","2025-06-12"
"None","Lubin","POL",1,1344.3939209,"2025-05-25","2025-06-12"
"None","Vejle","DEN",1,1342.21606445,"2025-05-25","2025-06-12"
"None","Orenburg","RUS",1,1342.03637695,"2025-05-25","2025-06-12"
"None","Cherno More","BUL",1,1340.97851562,"2025-05-27","2025-06-12"
"None","Lok Zagreb","CRO",1,1339.54748535,"2025-05-25","2025-06-12"
"None","Beitar","ISR",1,1339.39416504,"2025-05-25","2025-06-12"
"None","BW Linz","AUT",1,1339.27709961,"2025-05-25","2025-06-12"
"None","Aberdeen","SCO",1,1338.04016113,"2025-05-18","2025-06-12"
"None","Winterthur","SUI",1,1337.91210938,"2025-05-23","2025-06-12"
"None","Grasshoppers","SUI",1,1336.74902344,"2025-05-31","2025-06-12"
"None","Koper","SVN",1,1335.64245605,"2025-05-26","2025-06-12"
"None","Beerschot AC","BEL",1,1335.44128418,"2025-05-11","2025-06-12"
"None","Lechia","POL",1,1334.63244629,"2025-05-25","2025-06-12"
"None","Caen","FRA",2,1334.51257324,"2025-06-01","2025-06-12"
"None","Bodrum","TUR",1,1333.02697754,"2025-06-02","2025-06-12"
"None","Cartagena","ESP",2,1332.44958496,"2025-06-02","2025-06-12"
"None","FC Khimki","RUS",1,1332.08056641,"2025-05-25","2025-06-12"
"None","Lyngby","DEN",1,1331.06628418,"2025-05-25","2025-06-12"
"None","Viitorul","ROM",1,1331.0637207,"2025-05-17","2025-06-12"
"None","Atromitos","GRE",1,1330.74499512,"2025-05-11","2025-06-12"
"None","Karvina","CZE",1,1330.63317871,"2025-05-11","2025-06-12"
"None","Hermannstadt","ROM",1,1329.19116211,"2025-05-19","2025-06-12"
"None","Nizhny Novgorod","RUS",1,1328.875,"2025-05-25","2025-06-12"
"None","Hapoel Jerusalem","ISR",1,1328.39428711,"2025-05-11","2025-06-12"
"None","Gyoer","HUN",1,1327.04162598,"2025-05-25","2025-06-12"
"None","Levadeiakos","GRE",1,1325.5090332,"2025-05-23","2025-06-12"
"None","Ham-Kam","NOR",1,1325.42089844,"2025-06-01","2025-06-12"
"None","Fakel Voronezh","RUS",1,1325.39428711,"2025-05-25","2025-06-12"
"None","Stromsgodset","NOR",1,1325.36743164,"2025-06-01","2025-06-12"
"None","Kilmarnock","SCO",1,1325.25195312,"2025-05-19","2025-06-12"
"None","Sion","SUI",1,1324.94360352,"2025-05-23","2025-06-12"
"None","Stal Mielec","POL",1,1324.87597656,"2025-05-25","2025-06-12"
"None","Slaven Belupo","CRO",1,1324.84362793,"2025-05-26","2025-06-12"
"None","Willem II","NED",1,1324.44934082,"2025-05-19","2025-06-12"
"None","Norrkoeping","SWE",1,1323.95727539,"2025-06-01","2025-06-12"
"None","Slovacko","CZE",1,1320.97827148,"2025-05-26","2025-06-12"
"None","Polissya Zhytomyr","UKR",1,1320.07263184,"2025-05-26","2025-06-12"
"None","Dinamo Bucuresti","ROM",1,1317.17785645,"2025-05-25","2025-06-12"
"None","Regensburg","GER",2,1314.91992188,"2025-05-19","2025-06-12"
"None","Dunajska","SLK",0,1314.55773926,"2025-01-30","2025-06-12"
"None","Kristiansund","NOR",1,1312.94335938,"2025-06-02","2025-06-12"
"None","Kryvbas","UKR",1,1311.26586914,"2025-05-26","2025-06-12"
"None","Netanya","ISR",1,1311.05419922,"2025-05-25","2025-06-12"
"None","Motherwell","SCO",1,1309.34545898,"2025-05-19","2025-06-12"
"None","Zira","AZE",0,1309.1027832,"2025-01-31","2025-06-12"
"None","Bryne","NOR",1,1308.08203125,"2025-06-02","2025-06-12"
"None","Zrinjski Mostar","BHZ",0,1307.78210449,"2025-03-14","2025-06-12"
"None","Wisla","POL",0,1306.31396484,"2025-04-18","2025-06-12"
"None","Asteras Tripolis","GRE",1,1305.14465332,"2025-05-11","2025-06-12"
"None","Otelul Galati","ROM",1,1304.88562012,"2025-05-17","2025-06-12"
"None","OFI","GRE",1,1302.8425293,"2025-05-11","2025-06-12"
"None","Brommapojkarna","SWE",1,1302.8112793,"2025-06-02","2025-06-12"
"None","Dundee United","SCO",1,1302.08666992,"2025-05-18","2025-06-12"
"None","Puszcza Niepolomice","POL",1,1300.0793457,"2025-05-25","2025-06-12"
"None","Valerenga","NOR",1,1299.21533203,"2025-06-01","2025-06-12"
"None","Yverdon Sport","SUI",1,1298.96765137,"2025-05-23","2025-06-12"
"None","Sabah","AZE",0,1298.62854004,"2025-01-31","2025-06-12"
"None","KFUM Oslo","NOR",1,1297.58227539,"2025-06-02","2025-06-12"
"None","Shamrock","IRL",0,1295.78845215,"2025-02-21","2025-06-12"
"None","Arda","BUL",1,1294.98327637,"2025-06-01","2025-06-12"
"None","Pyunik","ARM",0,1293.49389648,"2025-01-01","2025-06-12"
"None","Zorya","UKR",1,1292.85839844,"2025-05-26","2025-06-12"
"None","Panetolikos","GRE",1,1291.86462402,"2025-05-23","2025-06-12"
"None","Sepsi","ROM",1,1290.68066406,"2025-05-19","2025-06-12"
"None","FK Riga","LAT",0,1289.60644531,"2025-01-31","2025-06-12"
"None","Hatayspor","TUR",1,1289.30761719,"2025-06-01","2025-06-12"
"None","UTA Arad","ROM",1,1288.83398438,"2025-05-18","2025-06-12"
"None","Dukla","CZE",1,1288.5020752,"2025-05-26","2025-06-12"
"None","Rukh Lviv","UKR",1,1288.19287109,"2025-05-25","2025-06-12"
"None","Diosgyori","HUN",1,1288.05786133,"2025-05-25","2025-06-12"
"None","Debrecen","HUN",1,1286.16259766,"2025-05-25","2025-06-12"
"None","Sumqayit","AZE",0,1285.54614258,"2025-01-31","2025-06-12"
"None","Aalborg","DEN",1,1285.1204834,"2025-05-25","2025-06-12"
"None","Dundee","SCO",1,1282.87023926,"2025-05-19","2025-06-12"
"None","Ashdod","ISR",1,1282.84484863,"2025-05-11","2025-06-12"
"None","Varnamo","SWE",1,1282.04333496,"2025-06-02","2025-06-12"
"None","MTK","HUN",1,1281.40856934,"2025-05-25","2025-06-12"
"None","Petrolul Ploiesti","ROM",1,1280.50402832,"2025-05-19","2025-06-12"
"None","Halmstad","SWE",1,1280.05810547,"2025-06-02","2025-06-12"
"None","Kolos","UKR",1,1279.32971191,"2025-05-25","2025-06-12"
"None","Altach","AUT",1,1278.7043457,"2025-05-24","2025-06-12"
"None","Kuopio","FIN",0,1277.19067383,"2025-01-01","2025-06-12"
"None","Wattens","AUT",1,1276.56164551,"2025-05-24","2025-06-12"
"None","Zalaegerszegi","HUN",1,1275.06213379,"2025-05-26","2025-06-12"
"None","RFS","LAT",0,1274.02490234,"2025-01-31","2025-06-12"
"None","Aarau","SUI",1,1272.09313965,"2025-05-31","2025-06-12"
"None","GAK","AUT",1,1271.65209961,"2025-05-24","2025-06-12"
"None","Pardubice","CZE",1,1270.84509277,"2025-05-26","2025-06-12"
"None","Bnei Sakhinin","ISR",1,1269.97265625,"2025-05-11","2025-06-12"
"None","Botosani","ROM",1,1267.04626465,"2025-05-19","2025-06-12"
"None","HNK Gorica","CRO",1,1266.1652832,"2025-05-25","2025-06-12"
"None","Haugesund","NOR",1,1265.59619141,"2025-06-02","2025-06-12"
"None","Ujpest","HUN",1,1265.30090332,"2025-05-25","2025-06-12"
"None","St Patricks","IRL",0,1264.93566895,"2025-02-21","2025-06-12"
"None","Bravo","SVN",1,1264.70251465,"2025-05-25","2025-06-12"
"None","Klagenfurt","AUT",1,1264.28808594,"2025-05-24","2025-06-12"
"None","Noah","ARM",0,1264.0534668,"2025-01-01","2025-06-12"
"None","NFC Volos","GRE",1,1262.30859375,"2025-05-23","2025-06-12"
"None","Karpaty","UKR",1,1259.42590332,"2025-05-26","2025-06-12"
"None","Vikingur","ISL",0,1257.90124512,"2025-02-21","2025-06-12"
"None","Borac Banja Luka","BHZ",0,1255.45935059,"2025-03-14","2025-06-12"
"None","Iasi","ROM",1,1254.77526855,"2025-05-19","2025-06-12"
"None","Oester","SWE",1,1252.09887695,"2025-06-01","2025-06-12"
"None","Degerfors","SWE",1,1251.06201172,"2025-06-01","2025-06-12"
"None","Backa Topola","SRB",1,1247.67456055,"2025-05-26","2025-06-12"
"None","Kalithea","GRE",1,1247.60107422,"2025-05-23","2025-06-12"
"None","Novi Sad","SRB",1,1246.3963623,"2025-05-26","2025-06-12"
"None","Ross County","SCO",1,1244.04736328,"2025-05-19","2025-06-12"
"None","FK Sarajevo","BHZ",0,1240.11474609,"2025-03-14","2025-06-12"
"None","Maccabi Bnei Raina","ISR",1,1239.88305664,"2025-05-11","2025-06-12"
"None","Metalist 1925","UKR",1,1239.8572998,"2025-06-02","2025-06-12"
"None","HJK Helsinki","FIN",0,1239.10522461,"2025-01-01","2025-06-12"
"None","Panserraikos","GRE",1,1238.79187012,"2025-05-23","2025-06-12"
"None","Shelbourne","IRL",0,1238.69750977,"2025-02-21","2025-06-12"
"None","Aktobe","KAZ",0,1237.74133301,"2025-01-01","2025-06-12"
"None","Videoton","HUN",1,1235.41149902,"2025-05-25","2025-06-12"
"None","Kecskemeti","HUN",1,1235.34887695,"2025-05-24","2025-06-12"
"None","Adana Demirspor","TUR",1,1234.671875,"2025-06-01","2025-06-12"
"None","Nyiregyhaza","HUN",1,1232.09912109,"2025-05-26","2025-06-12"
"None","Ararat","ARM",0,1229.59350586,"2025-01-01","2025-06-12"
"None","Tobol","KAZ",0,1228.64819336,"2025-01-01","2025-06-12"
"None","Derry City","IRL",0,1226.78308105,"2025-02-21","2025-06-12"
"None","Unirea Slobozia","ROM",1,1225.63012695,"2025-05-19","2025-06-12"
"None","Ironi Tiberias","ISR",1,1224.82067871,"2025-05-11","2025-06-12"
"None","Obolon Kyiv","UKR",1,1222.96166992,"2025-05-24","2025-06-12"
"None","LNZ","UKR",1,1222.95471191,"2025-05-26","2025-06-12"
"None","St Johnstone","SCO",1,1221.51623535,"2025-05-19","2025-06-12"
"None","M Petach Tikva","ISR",1,1220.94750977,"2025-05-11","2025-06-12"
"None","Veres","UKR",1,1218.13342285,"2025-05-26","2025-06-12"
"None","Kragujevac","SRB",1,1218.0826416,"2025-05-26","2025-06-12"
"None","Corvinul Hunedoara","ROM",0,1218.04663086,"2025-03-14","2025-06-12"
"None","Drita","KOS",0,1217.79748535,"2025-01-01","2025-06-12"
"None","Botev Plovdiv","BUL",1,1214.87927246,"2025-05-27","2025-06-12"
"None","Dinamo Minsk","BLR",0,1213.3963623,"2025-01-01","2025-06-12"
"None","CSKA 1948 Sofia","BUL",1,1210.73205566,"2025-05-26","2025-06-12"
"None","Vorskla","UKR",1,1209.55578613,"2025-05-24","2025-06-12"
"None","Ilves Tampere","FIN",0,1208.48547363,"2025-01-01","2025-06-12"
"None","Auda","LAT",0,1208.27697754,"2025-01-31","2025-06-12"
"None","Zalgiris Vilnius","LIT",0,1206.70324707,"2025-01-01","2025-06-12"
"None","Banants","ARM",0,1205.81433105,"2025-01-01","2025-06-12"
"None","Velez Mostar","BHZ",0,1205.63696289,"2025-03-14","2025-06-12"
"None","Sibenik","CRO",1,1204.60949707,"2025-05-26","2025-06-12"
"None","Ordabasy","KAZ",0,1203.40258789,"2025-01-01","2025-06-12"
"None","Breidablik","ISL",0,1202.88330078,"2025-02-21","2025-06-12"
"None","Novi Pazar","SRB",1,1200.30761719,"2025-05-26","2025-06-12"
"None","Petrocub","MOL",0,1196.45617676,"2025-01-01","2025-06-12"
"None","Kiryat Shmona","ISR",1,1196.04394531,"2025-05-11","2025-06-12"
"None","Valur","ISL",0,1195.88305664,"2025-02-21","2025-06-12"
"None","Primorje","SVN",1,1190.31591797,"2025-05-24","2025-06-12"
"None","Hapoel Eran Hadera","ISR",1,1190.2331543,"2025-05-11","2025-06-12"
"None","Vaasa","FIN",0,1189.03112793,"2025-01-01","2025-06-12"
"None","Liepajas","LAT",0,1185.73010254,"2025-01-31","2025-06-12"
"None","Cukaricki","SRB",1,1185.57104492,"2025-05-24","2025-06-12"
"None","Ballkani","KOS",0,1184.97155762,"2025-01-01","2025-06-12"
"None","Lok Sofia","BUL",1,1181.29724121,"2025-05-26","2025-06-12"
"None","Saburtalo","GEO",0,1178.19897461,"2025-01-01","2025-06-12"
"None","Shkendija","MAC",0,1177.32739258,"2025-01-01","2025-06-12"
"None","Milsami Orhei","MOL",0,1169.62426758,"2025-01-01","2025-06-12"
"None","Beroe Stara Zagora","BUL",1,1169.13757324,"2025-05-27","2025-06-12"
"None","Mura","SVN",1,1169.0324707,"2025-05-26","2025-06-12"
"None","Chernomorets","UKR",1,1168.51318359,"2025-05-25","2025-06-12"
"None","Lok Plovdiv","BUL",1,1165.56420898,"2025-05-26","2025-06-12"
"None","Stjarnan","ISL",0,1165.37548828,"2025-02-21","2025-06-12"
"None","Radomlje","SVN",1,1164.2845459,"2025-05-24","2025-06-12"
"None","Torpedo Kutaisi","GEO",0,1164.16381836,"2025-01-01","2025-06-12"
"None","Domzale","SVN",1,1162.32849121,"2025-05-26","2025-06-12"
"None","Slavia Sofia","BUL",1,1162.07763672,"2025-05-26","2025-06-12"
"None","Livyi Bereh","UKR",1,1161.27331543,"2025-06-02","2025-06-12"
"None","Inhulets","UKR",1,1159.96582031,"2025-05-24","2025-06-12"
"None","Klaksvik","FAR",0,1159.95324707,"2025-01-01","2025-06-12"
"None","Lamia","GRE",1,1158.99023438,"2025-05-23","2025-06-12"
"None","Partizani Tirana","ALB",0,1156.84179688,"2025-01-01","2025-06-12"
"None","Zimbru","MOL",0,1155.95031738,"2025-01-01","2025-06-12"
"None","Ceske Budejovice","CZE",1,1153.98828125,"2025-05-26","2025-06-12"
"None","Gloria Buzau","ROM",1,1151.76306152,"2025-05-18","2025-06-12"
"None","Batumi","GEO",0,1143.13012695,"2025-01-01","2025-06-12"
"None","Flora Tallinn","EST",0,1142.63122559,"2025-01-01","2025-06-12"
"None","Spartak Varna","BUL",1,1140.4230957,"2025-05-27","2025-06-12"
"None","Zeleznicar Pancevo","SRB",1,1139.875,"2025-05-24","2025-06-12"
"None","IMT","SRB",1,1137.99658203,"2025-05-25","2025-06-12"
"None","OFK","SRB",1,1137.03930664,"2025-05-26","2025-06-12"
"None","Mladost Lucani","SRB",1,1135.52954102,"2025-05-25","2025-06-12"
"None","Egnatia","ALB",0,1135.38818359,"2025-01-01","2025-06-12"
"None","Panevezys","LIT",0,1127.44165039,"2025-01-01","2025-06-12"
"None","The New Saints","WAL",0,1127.13720703,"2025-01-01","2025-06-12"
"None","Levski Krumovgrad","BUL",1,1126.19433594,"2025-05-26","2025-06-12"
"None","TransINVEST","LIT",0,1124.7097168,"2025-01-01","2025-06-12"
"None","Nafta","SVN",1,1122.66589355,"2025-05-26","2025-06-12"
"None","Vllaznia","ALB",0,1117.92810059,"2025-01-01","2025-06-12"
"None","Septemvri Sofia","BUL",1,1117.41577148,"2025-05-26","2025-06-12"
"None","Neman Grodno","BLR",0,1115.80456543,"2025-01-01","2025-06-12"
"None","Tikves","MAC",0,1114.75292969,"2025-01-01","2025-06-12"
"None","Tirana","ALB",0,1114.69067383,"2025-01-01","2025-06-12"
"None","Zlatibor","SRB",1,1108.2800293,"2025-05-25","2025-06-12"
"None","Isloch","BLR",0,1107.75524902,"2025-01-01","2025-06-12"
"None","Dinamo Tbilisi","GEO",0,1106.90856934,"2025-01-01","2025-06-12"
"None","Siauliai","LIT",0,1105.91015625,"2025-01-01","2025-06-12"
"None","Botev Vratsa","BUL",1,1103.88671875,"2025-05-30","2025-06-12"
"None","Linfield","NIR",0,1102.65942383,"2025-01-01","2025-06-12"
"None","Hamrun","MLT",0,1098.66833496,"2025-01-01","2025-06-12"
"None","Krusevac","SRB",1,1095.61401367,"2025-05-25","2025-06-12"
"None","Nis","SRB",1,1094.78491211,"2025-05-25","2025-06-12"
"None","Struga","MAC",0,1087.32653809,"2025-01-01","2025-06-12"
"None","Mornar","MNT",0,1085.00390625,"2025-01-01","2025-06-12"
"None","Niedercorn","LUX",0,1084.9855957,"2025-01-01","2025-06-12"
"None","Decic","MNT",0,1084.34790039,"2025-01-01","2025-06-12"
"None","Dudelange","LUX",0,1081.26477051,"2025-01-01","2025-06-12"
"None","Llapi","KOS",0,1075.31604004,"2025-01-01","2025-06-12"
"None","Torpedo Zhodino","BLR",0,1075.11975098,"2025-01-01","2025-06-12"
"None","Paide Linnameeskond","EST",0,1074.60168457,"2025-01-01","2025-06-12"
"None","Crusaders","NIR",0,1074.38952637,"2025-01-01","2025-06-12"
"None","B 36 Torshavn","FAR",0,1067.34130859,"2025-01-01","2025-06-12"
"None","Una Strassen","LUX",0,1066.4753418,"2025-01-01","2025-06-12"
"None","Differdang","LUX",0,1065.87243652,"2025-01-01","2025-06-12"
"None","Gota","FAR",0,1061.19055176,"2025-01-01","2025-06-12"
"None","Blagoevgrad","BUL",1,1060.3293457,"2025-05-30","2025-06-12"
"None","Malisheva","KOS",0,1059.91247559,"2025-01-01","2025-06-12"
"None","Larne","NIR",0,1053.89489746,"2025-01-01","2025-06-12"
"None","Floriana","MLT",0,1053.81933594,"2025-01-01","2025-06-12"
"None","HB Torshavn","FAR",0,1050.90234375,"2025-01-01","2025-06-12"
"None","Cliftonville","NIR",0,1050.16418457,"2025-01-01","2025-06-12"
"None","Marsaxlokk","MLT",0,1048.00817871,"2025-01-01","2025-06-12"
"None","FC Infonet","EST",0,1047.51000977,"2025-01-01","2025-06-12"
"None","Tekstilac Odzaci","SRB",1,1044.80822754,"2025-05-25","2025-06-12"
"None","Kalev","EST",0,1044.25756836,"2025-01-01","2025-06-12"
"None","Sliema Wanderers","MLT",0,1039.95922852,"2025-01-01","2025-06-12"
"None","Podgorica","MNT",0,1037.45458984,"2025-01-01","2025-06-12"
"None","Hebar","BUL",1,1035.06201172,"2025-05-26","2025-06-12"
"None","Jedinstvo Ub","SRB",1,1021.19543457,"2025-05-25","2025-06-12"
"None","Caernarfon Town","WAL",0,1006.66442871,"2025-01-01","2025-06-12"
"None","Bala","WAL",0,995.759460449,"2025-01-01","2025-06-12"
"None","Connahs Quay","WAL",0,995.107849121,"2025-01-01","2025-06-12"
"None","Escaldes","AND",0,965.057250977,"2025-01-01","2025-06-12"
"None","Lincoln","GIB",0,963.252685547,"2025-01-01","2025-06-12"
"None","St Josephs","GIB",0,907.828308105,"2025-01-01","2025-06-12"
"None","Escale","AND",0,901.204467773,"2025-01-01","2025-06-12"
"None","FCB Magpies","GIB",0,896.844543457,"2025-01-01","2025-06-12"
"None","Atletic Club Escaldes","AND",0,879.769836426,"2025-01-01","2025-06-12"
"None","SS Virtus","SMR",0,708.074829102,"2025-01-01","2025-06-12"
"None","Tre Penne","SMR",0,695.420898438,"2025-01-01","2025-06-12"
"None","La Fiorita","SMR",0,690.110168457,"2025-01-01","2025-06-12"
