"Club","Points","GF","GA","GD","Group","Europa","UL","n_teams","Rank","Elo","Tilt","Pass","seed"
"Cagliari",52,46,52,-6,"ITA",2,0,20,11,1602.2791748,1.44736842105263,4,25
"Udinese",47,47,56,-9,"ITA",2,0,20,12,1620.2565918,1.18421052631579,4,25
"Bologna",44,54,54,0,"ITA",2,0,20,13,1750.82434082,1.13157894736842,4,25
"Genoa",43,42,52,-10,"ITA",2,0,20,14,1664.06433105,1.18421052631579,4,25
"Parma",39,40,59,-19,"ITA",2,0,20,15,1602.97509766,1.25596387961414,4,25
"Lecce",39,34,60,-26,"ITA",2,0,20,16,1583.05078125,1.13157894736842,4,25
"Empoli",32,36,61,-25,"ITA",2,0,20,17,1577.66174316,1.09210526315789,4,25
"Venezia",32,39,71,-32,"ITA",2,0,20,18,1557.56433105,1.43424307078273,4,25
"Verona",31,34,70,-36,"ITA",2,0,20,19,1595.0670166,1.17105263157895,4,25
"Monza",28,38,75,-37,"ITA",2,0,20,20,1519.14404297,1.18421052631579,4,25
"Bodoe Glimt",60,53,24,29,"NOR",2,1,16,1,1616.89807129,1.25856669368332,0,25
"Viking",54,47,30,17,"NOR",2,1,16,2,1527.25927734,1.38546733637239,0,25
"Brann",51,41,29,12,"NOR",2,1,16,3,1497.65393066,1.40340905863045,0,25
"Tromso",48,49,37,12,"NOR",2,1,16,4,1403.46374512,1.19193548832045,0,25
"Molde",47,45,36,9,"NOR",2,1,16,5,1458.12585449,1.43299519560956,0,25
"Ham-Kam",47,42,37,5,"NOR",2,1,16,6,1325.42089844,1.34666355404426,0,25
"Fredrikstad",46,46,39,7,"NOR",2,1,16,7,1391.56896973,1.53860355625057,0,25
"Rosenborg",45,32,36,-4,"NOR",2,1,16,8,1479.81652832,1.35159472036786,0,25
"Sandefjord",44,45,40,5,"NOR",2,1,16,9,1352.60778809,1.21584831220816,0,25
"Stromsgodset",43,45,45,0,"NOR",2,1,16,10,1325.36743164,1.26286690954223,0,25
"KFUM Oslo",38,40,36,4,"NOR",2,1,16,11,1297.58227539,1.23450703076651,0,25
"Kristiansund",36,33,43,-10,"NOR",2,1,16,12,1312.94335938,1.29498091753948,0,25
"Sarpsborg",33,33,42,-9,"NOR",2,1,16,13,1394.88232422,1.21636894566043,0,25
"Bryne",23,29,52,-23,"NOR",2,1,16,14,1308.08203125,1.16242619079601,0,25
"Haugesund",23,26,56,-30,"NOR",2,1,16,15,1265.59619141,1.30863388612194,0,25
"Valerenga",22,26,50,-24,"NOR",2,1,16,16,1299.21533203,1.18847067238436,0,25
"Crvena Zvezda",84,92,14,78,"SRB",1,2,16,1,1580.66638184,1.30801496229692,0,25
"Partizan",57,56,36,20,"SRB",1,2,16,2,1354.12451172,1.32991577296788,0,25
"Mladost Lucani",45,41,36,5,"SRB",1,2,16,3,1135.52954102,1.34045773064016,0,25
"Cukaricki",44,31,30,1,"SRB",1,2,16,4,1185.57104492,1.22997647505328,0,25
"Novi Sad",42,41,38,3,"SRB",1,2,16,5,1246.3963623,1.20348383556437,0,25
"Backa Topola",41,37,37,0,"SRB",1,2,16,6,1247.67456055,1.22237138964147,0,25
"Zeleznicar Pancevo",41,40,43,-3,"SRB",1,2,16,7,1139.875,1.27069174796149,0,25
"IMT",40,38,40,-2,"SRB",1,2,16,8,1137.99658203,1.23920049812262,0,25
"Kragujevac",40,34,41,-7,"SRB",1,2,16,9,1218.0826416,1.35425582624941,0,25
"Novi Pazar",37,33,42,-9,"SRB",1,2,16,10,1200.30761719,1.42406995207552,0,25
"Krusevac",36,37,48,-11,"SRB",1,2,16,11,1095.61401367,1.29247349622782,0,25
"OFK",34,35,45,-10,"SRB",1,2,16,12,1137.03930664,1.32226959590943,0,25
"Tekstilac Odzaci",31,31,46,-15,"SRB",1,2,16,13,1044.80822754,1.21768698888663,0,25
"Nis",31,34,50,-16,"SRB",1,2,16,14,1094.78491211,1.39382488925017,0,25
"Jedinstvo Ub",31,26,45,-19,"SRB",1,2,16,15,1021.19543457,1.22734938771477,0,25
"Zlatibor",30,30,45,-15,"SRB",1,2,16,16,1108.2800293,1.44750462455416,0,25
"Viktoria Plzen",73,54,13,41,"CZE",1,1,16,1,1616.74377441,1.10858597223918,0,25
"Slavia Praha",71,65,11,54,"CZE",1,1,16,2,1694.71618652,1.37502168337403,0,25
"Banik Ostrava",61,51,24,27,"CZE",1,1,16,3,1525.75,1.26709139957317,0,25
"Sparta Praha",60,55,27,28,"CZE",1,1,16,4,1573.58947754,1.32976774241015,0,25
"Jablonec",57,52,26,26,"CZE",1,1,16,5,1488.07983398,1.34587081711347,0,25
"Hradec Kralove",46,55,51,4,"CZE",1,1,16,6,1427.42712402,1.4823716258969,0,25
"Slovan Liberec",41,39,31,8,"CZE",1,1,16,7,1420.46691895,1.16549414790072,0,25
"Sigma Olomouc",40,37,43,-6,"CZE",1,1,16,8,1384.57910156,1.4135949888798,0,25
"Mlada Boleslav",38,33,41,-8,"CZE",1,1,16,9,1361.43188477,1.17540239471194,0,25
"Bohemians Praha",36,27,35,-8,"CZE",1,1,16,10,1355.88806152,1.29306574392094,0,25
"Karvina",36,32,45,-13,"CZE",1,1,16,11,1330.63317871,1.29517221681912,0,25
"Teplice",25,29,56,-27,"CZE",1,1,16,12,1364.72058105,1.27712490054368,0,25
"Pardubice",25,27,56,-29,"CZE",1,1,16,13,1270.84509277,1.17272303810024,0,25
"Slovacko",24,25,47,-22,"CZE",1,1,16,14,1320.97827148,1.10974101556139,0,25
"Dukla",17,30,61,-31,"CZE",1,1,16,15,1288.5020752,1.31315167160536,0,25
"Ceske Budejovice",11,12,56,-44,"CZE",1,1,16,16,1153.98828125,1.43375478692142,0,25
"Basel",46,38,25,13,"SUI",0,1,13,1,1523.00378418,1.1175036967485,0,25
"Young Boys",45,33,20,13,"SUI",0,1,13,2,1498.67150879,1.32005688327329,0,25
"Lausanne",42,31,21,10,"SUI",0,1,13,3,1403.11108398,1.19662907847251,0,25
"StGallen",37,36,33,3,"SUI",0,1,13,4,1391.01086426,1.50350354979474,0,25
"Luzern",33,24,29,-5,"SUI",0,1,13,5,1383.43859863,1.29534391876841,0,25
"Servette",31,27,25,2,"SUI",0,1,13,6,1468.03637695,1.1259286100542,0,25
"Lugano",30,28,28,0,"SUI",0,1,13,7,1402.29016113,1.17288140176353,0,25
"Aarau",30,34,36,-2,"SUI",0,1,13,8,1272.09313965,1.29541847113336,0,25
"Winterthur",29,29,33,-4,"SUI",0,1,13,9,1337.91210938,1.15603878463508,0,25
"Yverdon Sport",29,32,38,-6,"SUI",0,1,13,10,1298.96765137,1.29278503409189,0,25
"Sion",29,26,37,-11,"SUI",0,1,13,11,1324.94360352,1.50481950070255,0,25
"Grasshoppers",27,22,26,-4,"SUI",0,1,13,12,1336.74902344,1.22545922326802,0,25
"Zuerich",25,23,32,-9,"SUI",0,1,13,13,1387.01550293,1.25937076727005,0,25
"Ajax",78,74,33,41,"NED",1,2,18,1,1663.94873047,1.98529411764706,2,25
"PSV",77,88,27,61,"NED",1,2,18,2,1797.03527832,1.94117647058824,2,25
"Feyenoord",77,88,35,53,"NED",1,2,18,3,1738.36352539,1.73529411764706,2,25
"Alkmaar",64,65,40,25,"NED",1,2,18,4,1626.27563477,1.60294117647059,2,25
"Nijmegen",58,58,39,19,"NED",1,2,18,5,1505.06628418,1.75,2,25
"Heerenveen",51,48,54,-6,"NED",1,2,18,6,1445.41308594,1.80882352941176,2,25
"Utrecht",50,47,43,4,"NED",1,2,18,7,1584.75134277,1.41176470588235,2,25
"Twente",47,49,51,-2,"NED",1,2,18,8,1576.95092773,1.54411764705882,2,25
"Zwolle",46,55,56,-1,"NED",1,2,18,9,1462.80810547,1.64705882352941,2,25
"Go Ahead Eagles",46,46,51,-5,"NED",1,2,18,10,1498.68859863,1.36764705882353,2,25
"Willem II",45,47,46,1,"NED",1,2,18,11,1324.44934082,1.21004875311164,2,25
"Sparta Rotterdam",44,53,61,-8,"NED",1,2,18,12,1493.50878906,1.45588235294118,2,25
"Heracles",32,39,74,-35,"NED",1,2,18,13,1409.36730957,1.69117647058824,2,25
"Waalwijk",30,40,61,-21,"NED",1,2,18,14,1378.1862793,1.38235294117647,2,25
"Sittard",30,35,63,-28,"NED",1,2,18,15,1420.51062012,1.36764705882353,2,25
"Breda",27,36,66,-30,"NED",1,2,18,16,1351.14208984,1.33423943103099,2,25
"Groningen",27,33,64,-31,"NED",1,2,18,17,1410.41210938,1.32101816298591,2,25
"Almere",24,32,69,-37,"NED",1,2,18,18,1349.17346191,1.35294117647059,2,25
"Zenit",75,73,20,53,"RUS",2,2,16,1,1654.94470215,1.58743401811398,1,25
"FC Krasnodar",58,56,32,24,"RUS",2,2,16,2,1614.2935791,1.13196119948384,1,25
"Spartak Moskva",58,48,24,24,"RUS",2,2,16,3,1575.06225586,1.23275853286209,1,25
"Dynamo Moskva",46,38,34,4,"RUS",2,2,16,4,1559.70556641,1.17008455280783,1,25
"CSKA Moskva",45,45,37,8,"RUS",2,2,16,5,1586.48449707,1.36377505461724,1,25
"Rubin Kazan",43,32,32,0,"RUS",2,2,16,6,1449.19909668,1.32979156118783,1,25
"Kryliya Sovetov",43,31,41,-10,"RUS",2,2,16,7,1389.4510498,1.36243959402247,1,25
"Rostov",39,32,33,-1,"RUS",2,2,16,8,1454.07470703,1.29205254844165,1,25
"Orenburg",37,36,45,-9,"RUS",2,2,16,9,1342.03637695,1.24898361764496,1,25
"Nizhny Novgorod",37,28,40,-12,"RUS",2,2,16,10,1328.875,1.06550869176451,1,25
"Lok Moskva",36,33,37,-4,"RUS",2,2,16,11,1528.8885498,1.26253819611942,1,25
"Fakel Voronezh",34,34,42,-8,"RUS",2,2,16,12,1325.39428711,1.1651378333628,1,25
"Dynamo Makhachkala",34,36,49,-13,"RUS",2,2,16,13,1345.46643066,1.36920444958643,1,25
"Terek Grozny",33,30,39,-9,"RUS",2,2,16,14,1378.00061035,1.14499249269468,1,25
"Akron Togliatti",29,29,46,-17,"RUS",2,2,16,15,1351.15979004,1.4116763261447,1,25
"FC Khimki",21,29,59,-30,"RUS",2,2,16,16,1332.08056641,1.38693968282117,1,25
"Rakow",69,67,40,27,"POL",0,2,19,1,1536.67834473,1.21793419636646,0,25
"Jagiellonia",67,59,37,22,"POL",0,2,19,2,1485.85668945,1.38406367356363,0,25
"Lech",66,64,42,22,"POL",0,2,19,3,1532.71276855,1.22159377677178,0,25
"Korona",63,61,50,11,"POL",0,2,19,4,1390.20080566,1.44490128828087,0,25
"Pogon",57,51,39,12,"POL",0,2,19,5,1482.17431641,1.20860026040418,0,25
"Legia",57,60,53,7,"POL",0,2,19,6,1490.91125488,1.54363330137284,0,25
"Slask",55,54,55,-1,"POL",0,2,19,7,1377.68811035,1.41198646640874,0,25
"Cracovia",54,49,41,8,"POL",0,2,19,8,1407.8190918,1.37807801504573,0,25
"Piast Gliwice",53,52,49,3,"POL",0,2,19,9,1422.59057617,1.34613674826856,0,25
"Radomiak",48,46,48,-2,"POL",0,2,19,10,1367.92749023,1.38961505251779,0,25
"Motor Lublin",47,43,49,-6,"POL",0,2,19,11,1349.67553711,1.29335013587857,0,25
"Katowice",46,46,42,4,"POL",0,2,19,12,1388.51147461,1.2178087496358,0,25
"Widzew",43,38,47,-9,"POL",0,2,19,13,1346.42041016,1.23243937676848,0,25
"Puszcza Niepolomice",40,37,49,-12,"POL",0,2,19,14,1300.0793457,1.47844821649779,0,25
"Lubin",39,38,50,-12,"POL",0,2,19,15,1344.3939209,1.35110012325054,0,25
"Lechia",39,39,55,-16,"POL",0,2,19,16,1334.63244629,1.32544738605066,0,25
"Wisla",37,38,54,-16,"POL",0,2,19,17,1306.31396484,1.18517012768042,0,25
"Stal Mielec",31,32,55,-23,"POL",0,2,19,18,1324.87597656,1.19696463101054,0,25
"Gornik",30,45,64,-19,"POL",0,2,19,19,1411.67602539,1.32903557964305,0,25
"FC Kobenhavn",48,37,14,23,"DEN",0,1,12,1,1621.64001465,1.21892716482393,0,25
"Nordsjaelland",45,46,28,18,"DEN",0,1,12,2,1515.36816406,1.2632699691796,0,25
"Brondby",36,32,25,7,"DEN",0,1,12,3,1547.92456055,1.40766813700265,0,25
"Midtjylland",35,38,22,16,"DEN",0,1,12,4,1595.68408203,1.26220222002616,0,25
"Silkeborg",35,37,27,10,"DEN",0,1,12,5,1461.40356445,1.36358987826313,0,25
"Viborg",30,24,31,-7,"DEN",0,1,12,6,1447.69433594,1.13817735347047,0,25
"Randers",28,36,31,5,"DEN",0,1,12,7,1466.17724609,1.41999875594513,0,25
"Vejle",28,22,29,-7,"DEN",0,1,12,8,1342.21606445,1.18015464760164,0,25
"Aarhus",25,19,26,-7,"DEN",0,1,12,9,1449.50964355,1.22749111269878,0,25
"SonderjyskE",20,27,46,-19,"DEN",0,1,12,10,1360.40319824,1.47641385155608,0,25
"Aalborg",19,16,38,-22,"DEN",0,1,12,11,1285.1204834,1.15245527490686,0,25
"Lyngby",16,25,42,-17,"DEN",0,1,12,12,1331.06628418,1.2504177861205,0,25
"Sporting",91,92,23,69,"POR",2,1,18,1,1788.60021973,1.83823529411765,2,25
"Benfica",83,82,28,54,"POR",2,1,18,2,1791.48046875,1.54411764705882,2,25
"Braga",81,86,30,56,"POR",2,1,18,3,1650.64880371,1.77941176470588,2,25
"Porto",76,69,26,43,"POR",2,1,18,4,1678.19543457,1.32352941176471,2,25
"Santa Clara",48,48,45,3,"POR",2,1,18,5,1484.93884277,1.20983955204207,2,25
"Guimaraes",48,49,49,0,"POR",2,1,18,6,1576.27685547,1.32352941176471,2,25
"Arouca",44,48,56,-8,"POR",2,1,18,7,1471.92883301,1.52941176470588,2,25
"Casa Pia",42,38,55,-17,"POR",2,1,18,8,1459.93005371,1.29411764705882,2,25
"Famalicao",41,35,45,-10,"POR",2,1,18,9,1511.265625,1.14705882352941,2,25
"Nacional",41,41,59,-18,"POR",2,1,18,10,1410.2755127,1.43199899303932,2,25
"Farense",39,42,52,-10,"POR",2,1,18,11,1388.83337402,1.42647058823529,2,25
"Estrela Amadora",39,25,44,-19,"POR",2,1,18,12,1367.9029541,1.26470588235294,2,25
"Gil Vicente",38,35,53,-18,"POR",2,1,18,13,1432.91479492,1.38235294117647,2,25
"Estoril",37,47,69,-22,"POR",2,1,18,14,1470.43786621,1.57352941176471,2,25
"Moreirense",36,34,53,-19,"POR",2,1,18,15,1460.36975098,1.04411764705882,2,25
"Rio Ave",32,31,51,-20,"POR",2,1,18,16,1450.0300293,1.19117647058824,2,25
"AVS Futebol",25,27,57,-30,"POR",2,1,18,17,1353.67419434,1.35121174966152,2,25
"Boavista",19,33,67,-34,"POR",2,1,18,18,1345.24804688,1.48529411764706,2,25
"Shakhtar",82,77,10,67,"UKR",1,1,17,1,1531.97888184,1.34426060290639,1,25
"Dynamo Kyiv",72,62,21,41,"UKR",1,1,17,2,1507.01538086,1.37540510147373,1,25
"Kolos",53,44,33,11,"UKR",1,1,17,3,1279.32971191,1.23181275676821,1,25
"LNZ",52,39,42,-3,"UKR",1,1,17,4,1222.95471191,1.43783182590926,1,25
"Metalist 1925",50,39,33,6,"UKR",1,1,17,5,1239.8572998,1.34822313638995,1,25
"Polissya Zhytomyr",49,37,36,1,"UKR",1,1,17,6,1320.07263184,1.15648380310454,1,25
"Rukh Lviv",48,36,32,4,"UKR",1,1,17,7,1288.19287109,1.19821061953359,1,25
"Kryvbas",46,32,30,2,"UKR",1,1,17,8,1311.26586914,1.17124683332106,1,25
"Obolon Kyiv",41,49,53,-4,"UKR",1,1,17,9,1222.96166992,1.41574316007994,1,25
"Olexandriya",39,44,47,-3,"UKR",1,1,17,10,1381.87268066,1.26204952753403,1,25
"Vorskla",36,40,55,-15,"UKR",1,1,17,11,1209.55578613,1.44672487114003,1,25
"Inhulets",35,34,46,-12,"UKR",1,1,17,12,1159.96582031,1.3579793678083,1,25
"Chernomorets",35,32,56,-24,"UKR",1,1,17,13,1168.51318359,1.3211674155278,1,25
"Livyi Bereh",34,35,49,-14,"UKR",1,1,17,14,1161.27331543,1.31149048939466,1,25
"Veres",27,33,47,-14,"UKR",1,1,17,15,1218.13342285,1.22725580252693,1,25
"Zorya",26,29,43,-14,"UKR",1,1,17,16,1292.85839844,1.26449959406834,1,25
"Karpaty",24,28,57,-29,"UKR",1,1,17,17,1259.42590332,1.26492248753572,1,25
"Sturm Graz",44,45,24,21,"AUT",1,1,12,1,1553.17565918,1.39055705424895,1,25
"Wolfsberg",44,39,23,16,"AUT",1,1,12,2,1480.16235352,1.36670197412208,1,25
"Austria Wien",36,27,22,5,"AUT",1,1,12,3,1476.18188477,1.1049857130602,1,25
"Salzburg",35,31,22,9,"AUT",1,1,12,4,1558.85534668,1.39854395994097,1,25
"Hartberg",34,27,28,-1,"AUT",1,1,12,5,1376.58984375,1.36668828111689,1,25
"LASK",29,33,33,0,"AUT",1,1,12,6,1443.68151855,1.2622952687105,1,25
"BW Linz",29,33,34,-1,"AUT",1,1,12,7,1339.27709961,1.41444912217165,1,25
"Klagenfurt",28,29,35,-6,"AUT",1,1,12,8,1264.28808594,1.1249015311724,1,25
"Wattens",26,24,33,-9,"AUT",1,1,12,9,1276.56164551,1.41255146487638,1,25
"Altach",23,23,33,-10,"AUT",1,1,12,10,1278.7043457,1.23615934046295,1,25
"GAK",21,21,30,-9,"AUT",1,1,12,11,1271.65209961,1.26402973044026,1,25
"Rapid Wien",14,12,27,-15,"AUT",1,1,12,12,1436.13745117,1.0441913868293,1,25
"M Tel Aviv",71,61,11,50,"ISR",0,1,14,1,1552.51538086,1.3460140139041,0,25
"Beer-Sheva",60,45,17,28,"ISR",0,1,14,2,1514.36657715,1.39681602683413,0,25
"Bnei Sakhinin",40,36,31,5,"ISR",0,1,14,3,1269.97265625,1.46515089003535,0,25
"Maccabi Bnei Raina",40,36,31,5,"ISR",0,1,14,4,1239.88305664,1.25564372476163,0,25
"Hapoel Jerusalem",38,28,25,3,"ISR",0,1,14,5,1328.39428711,1.33521398699805,0,25
"Ashdod",38,37,35,2,"ISR",0,1,14,6,1282.84484863,1.16611594332233,0,25
"Netanya",37,36,37,-1,"ISR",0,1,14,7,1311.05419922,1.4154112449559,0,25
"Maccabi Haifa",36,35,31,4,"ISR",0,1,14,8,1451.36315918,1.30409773024434,0,25
"Hapoel Haifa",34,28,30,-2,"ISR",0,1,14,9,1364.0723877,1.14713714619879,0,25
"Beitar",32,30,35,-5,"ISR",0,1,14,10,1339.39416504,1.33722024258551,0,25
"Ironi Tiberias",25,26,37,-11,"ISR",0,1,14,11,1224.82067871,1.27013393425056,0,25
"Hapoel Eran Hadera",21,23,52,-29,"ISR",0,1,14,12,1190.2331543,1.17073611352499,0,25
"M Petach Tikva",20,21,44,-23,"ISR",0,1,14,13,1220.94750977,1.24388047078595,0,25
"Kiryat Shmona",17,25,51,-26,"ISR",0,1,14,14,1196.04394531,1.2746576059026,0,25
"Trnava",81,58,31,27,"REST",1,1,20,1,1375.41516113,1.25937201356831,0,25
"Paphos",69,65,32,33,"REST",1,1,20,2,1445.92211914,1.25106352623509,0,25
"Larnaca",65,63,43,20,"REST",1,1,20,3,1423.25964355,1.17928185148206,0,25
"Borac Banja Luka",65,47,35,12,"REST",1,1,20,4,1255.45935059,1.36647516855255,0,25
"FK Sarajevo",64,49,50,-1,"REST",1,1,20,5,1240.11474609,1.26213398251259,0,25
"Shamrock",62,54,41,13,"REST",1,1,20,6,1295.78845215,1.2573176374954,0,25
"Karabakh Agdam",61,60,42,18,"REST",1,1,20,7,1500.27087402,1.2804103690534,0,25
"Sheriff Tiraspol",58,60,41,19,"REST",1,1,20,8,1376.75268555,1.21454145710464,0,25
"Zira",55,51,47,4,"REST",1,1,20,9,1309.1027832,1.3707569503032,0,25
"St Patricks",54,48,53,-5,"REST",1,1,20,10,1264.93566895,1.33720846247451,0,25
"Zalgiris Vilnius",51,37,49,-12,"REST",1,1,20,11,1206.70324707,1.22471202969713,0,25
"Dunajska",49,49,54,-5,"REST",1,1,20,12,1314.55773926,1.44578039355131,0,25
"Pyunik",47,53,52,1,"REST",1,1,20,13,1293.49389648,1.2421722882144,0,25
"Ararat",46,46,51,-5,"REST",1,1,20,14,1229.59350586,1.31872161385618,0,25
"Ruzomberok",45,38,38,0,"REST",1,1,20,15,1369.51293945,1.31030362432411,0,25
"Shelbourne",45,45,56,-11,"REST",1,1,20,16,1238.69750977,1.50066422821994,0,25
"Velez Mostar",41,34,55,-21,"REST",1,1,20,17,1205.63696289,1.34881856443651,0,25
"Auda",33,39,64,-25,"REST",1,1,20,18,1208.27697754,1.23256459056195,0,25
"Ilves Tampere",32,33,59,-26,"REST",1,1,20,19,1208.48547363,1.30918083578742,0,25
"HJK Helsinki",19,32,68,-36,"REST",1,1,20,20,1239.10522461,1.26220468858328,0,25
"Elfsborg",60,44,23,21,"SWE",1,1,16,1,1522.04467773,1.27903085372657,1,25
"Hammarby",58,48,24,24,"SWE",1,1,16,2,1522.63391113,1.2696625811291,1,25
"Djurgarden",54,52,25,27,"SWE",1,1,16,3,1460.47021484,1.31310051987624,1,25
"Malmoe",51,49,32,17,"SWE",1,1,16,4,1521.03540039,1.22634201961923,1,25
"GAIS",49,42,34,8,"SWE",1,1,16,5,1372.57067871,1.26426836743343,1,25
"Mjaellby",44,48,35,13,"SWE",1,1,16,6,1493.09875488,1.44463954929596,1,25
"Goeteborg",44,32,24,8,"SWE",1,1,16,7,1366.38745117,1.19394419446799,1,25
"IK Sirius",43,33,35,-2,"SWE",1,1,16,8,1371.16271973,1.31911189492122,1,25
"Haecken",42,32,32,0,"SWE",1,1,16,9,1399.73974609,1.29958725486242,1,25
"AIK",38,31,32,-1,"SWE",1,1,16,10,1477.94763184,1.25443165505849,1,25
"Halmstad",38,35,42,-7,"SWE",1,1,16,11,1280.05810547,1.23986752671017,1,25
"Brommapojkarna",35,36,48,-12,"SWE",1,1,16,12,1302.8112793,1.31057636121161,1,25
"Varnamo",30,28,42,-14,"SWE",1,1,16,13,1282.04333496,1.31160002945536,1,25
"Norrkoeping",30,27,50,-23,"SWE",1,1,16,14,1323.95727539,1.43216491951596,1,25
"Oester",25,20,52,-32,"SWE",1,1,16,15,1252.09887695,1.37713246364899,1,25
"Degerfors",23,18,45,-27,"SWE",1,1,16,16,1251.06201172,1.23050938234219,1,25
"Barcelona",93,89,35,54,"ESP",2,0,20,1,1945.43041992,1.61842105263158,4,25
"Real Madrid",89,73,23,50,"ESP",2,0,20,2,1936.12731934,1.48684210526316,4,25
"Bilbao",75,66,36,30,"ESP",2,0,20,3,1789.30895996,1.28947368421053,4,25
"Atletico",65,73,42,31,"ESP",2,0,20,4,1855.34960938,1.48684210526316,4,25
"Valencia",61,51,44,7,"ESP",2,0,20,5,1679.41589355,1.11842105263158,4,25
"Betis",60,47,35,12,"ESP",2,0,20,6,1742.14355469,1.22368421052632,4,25
"Osasuna",55,43,46,-3,"ESP",2,0,20,7,1697.22412109,1.32894736842105,4,25
"Sociedad",54,45,48,-3,"ESP",2,0,20,8,1667.3203125,1.18421052631579,4,25
"Celta",53,47,47,0,"ESP",2,0,20,9,1689.27087402,1.35526315789474,4,25
"Villarreal",50,62,60,2,"ESP",2,0,20,10,1785.54626465,1.71052631578947,4,25
"Leganes",45,35,54,-19,"ESP",2,0,20,11,1599.02893066,1.02559150128414,4,25
"Getafe",44,44,58,-14,"ESP",2,0,20,12,1625.7598877,1.26315789473684,4,25
"Espanyol",44,47,63,-16,"ESP",2,0,20,13,1634.66186523,1.41949496420612,4,25
"Alaves",43,36,44,-8,"ESP",2,0,20,14,1644.11938477,1.07894736842105,4,25
"Rayo Vallecano",43,33,41,-8,"ESP",2,0,20,15,1658.47595215,1.01315789473684,4,25
"Girona",40,43,59,-16,"ESP",2,0,20,16,1637.03479004,1.72368421052632,4,25
"Las Palmas",36,31,48,-17,"ESP",2,0,20,17,1563.5020752,1.05263157894737,4,25
"Valladolid",33,28,72,-44,"ESP",2,0,20,18,1467.32788086,1.27765409168284,4,25
"Sevilla",32,38,62,-24,"ESP",2,0,20,19,1637.12207031,1.34210526315789,4,25
"Mallorca",31,32,46,-14,"ESP",2,0,20,20,1641.24829102,1.01315789473684,4,25
"Koper",37,34,17,17,"SVN",1,1,10,1,1335.64245605,1.19157397185189,0,25
"Olimpija Ljubljana",32,26,12,14,"SVN",1,1,10,2,1426.41101074,1.19610886428996,0,25
"Celje",30,22,14,8,"SVN",1,1,10,3,1379.47290039,1.2217943709186,0,25
"Maribor",26,33,29,4,"SVN",1,1,10,4,1380.29211426,1.27739228620099,0,25
"Radomlje",26,28,32,-4,"SVN",1,1,10,5,1164.2845459,1.38852717255821,0,25
"Bravo",26,22,27,-5,"SVN",1,1,10,6,1264.70251465,1.20658248646562,0,25
"Domzale",24,15,19,-4,"SVN",1,1,10,7,1162.32849121,1.16628407812452,0,25
"Nafta",19,22,29,-7,"SVN",1,1,10,8,1122.66589355,1.17162902842252,0,25
"Primorje",18,19,28,-9,"SVN",1,1,10,9,1190.31591797,1.31969854035881,0,25
"Mura",8,13,27,-14,"SVN",1,1,10,10,1169.0324707,1.21368794292851,0,25
"Bayern",77,78,28,50,"GER",2,0,18,1,1918.99780273,2.04411764705882,4,25
"Frankfurt",72,64,39,25,"GER",2,0,18,2,1745.75793457,1.48529411764706,4,25
"Leverkusen",63,72,39,33,"GER",2,0,18,3,1848.78601074,1.66176470588235,4,25
"Stuttgart",59,68,48,20,"GER",2,0,18,4,1719.31469727,1.72058823529412,4,25
"Dortmund",51,66,61,5,"GER",2,0,18,5,1818.35009766,1.63235294117647,4,25
"Werder",50,67,61,6,"GER",2,0,18,6,1677.4543457,1.5,4,25
"Mainz",49,51,48,3,"GER",2,0,18,7,1706.18273926,1.32352941176471,4,25
"Hoffenheim",49,53,60,-7,"GER",2,0,18,8,1605.84057617,1.94117647058824,4,25
"RB Leipzig",45,59,61,-2,"GER",2,0,18,9,1716.37438965,1.70588235294118,4,25
"Union Berlin",44,51,46,5,"GER",2,0,18,10,1617.16491699,1.33823529411765,4,25
"Heidenheim",39,51,63,-12,"GER",2,0,18,11,1558.72509766,1.54411764705882,4,25
"Wolfsburg",38,44,65,-21,"GER",2,0,18,12,1645.72412109,1.42647058823529,4,25
"St Pauli",37,37,50,-13,"GER",2,0,18,13,1577.10717773,1.23752069864605,4,25
"Holstein",37,37,53,-16,"GER",2,0,18,14,1537.13269043,1.33240692853409,4,25
"Freiburg",35,46,56,-10,"GER",2,0,18,15,1684.3404541,1.51470588235294,4,25
"Gladbach",32,49,68,-19,"GER",2,0,18,16,1632.47961426,1.80882352941176,4,25
"Bochum",32,43,69,-26,"GER",2,0,18,17,1539.73632812,1.70588235294118,4,25
"Augsburg",29,36,57,-21,"GER",2,0,18,18,1618.65966797,1.61764705882353,4,25
"Slaven Belupo",32,27,20,7,"CRO",1,2,10,1,1324.84362793,1.21910862919028,1,25
"Varazdin",31,24,17,7,"CRO",1,2,10,2,1347.17712402,1.19685343036218,1,25
"Hajduk",30,27,20,7,"CRO",1,2,10,3,1435.51623535,1.2215246682926,1,25
"Dinamo Zagreb",28,24,20,4,"CRO",1,2,10,4,1527.02502441,1.31894339934602,1,25
"Istra 1961",26,22,22,0,"CRO",1,2,10,5,1362.64489746,1.30922421803539,1,25
"Lok Zagreb",25,28,26,2,"CRO",1,2,10,6,1339.54748535,1.2932122972334,1,25
"Rijeka",25,17,16,1,"CRO",1,2,10,7,1442.31982422,1.20486762181509,1,25
"Osijek",21,19,22,-3,"CRO",1,2,10,8,1353.87341309,1.29645159183204,1,25
"HNK Gorica",18,17,24,-7,"CRO",1,2,10,9,1266.1652832,1.27008357766867,1,25
"Sibenik",12,18,36,-18,"CRO",1,2,10,10,1204.60949707,1.35633606512774,1,25
